Nom,Prix,Unité,Réduction
Figues Bio CARREFOUR BIO,5,250g,prime bio
Kumquat Bio CARREFOUR BIO,2,200g,prime bio
Prunes Quetsche Bio CARREFOUR BIO,4,500g,prime bio
Oignons roses Bio CARREFOUR BIO,2,500g,prime bio
Radis équeté CARREFOUR BIO,2,250g,prime bio
Jus De Grenade 100% Pur Jus Bio CARREFOUR BIO,3,90cL,prime bio
Pastèque CARREFOUR BIO,3,Quantité non disponible,prime bio
Pommes bicolores CARREFOUR BIO,3,Quantité non disponible,prime bio
Pommes Golden Delicious CARREFOUR BIO,3,Quantité non disponible,prime bio
Pommes Chantecler CARREFOUR BIO,3,4 pièces,prime bio
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Poireaux Bio CARREFOUR BIO,3,750g,prime bio
Nectarines jaune Bio CHAIR JAUNE CARREFOUR BIO,4,Quantité non disponible,prime bio
Courgettes bio CARREFOUR BIO,2,1Kg,prime bio
Mangue décollée Bio CARREFOUR BIO,2,la pièce,prime bio
Concombre Bio CARREFOUR BIO,1,la pièce,prime bio
Salade mâche Bio CARREFOUR BIO,1,100g,prime bio
Oranges à dessert CARREFOUR BIO,2,4 pièces,prime bio
Concombre Bio CARREFOUR BIO,1,la pièce,prime bio
Ail Bio CARREFOUR BIO,2,2 pièces,prime bio
Pommes de terre Grenaille CARREFOUR BIO,2,750g,prime bio
Salade Bio jeunes pousses d'épinard CARREFOUR BIO,1,100g,prime bio
Melon charentais jaune CARREFOUR BIO,2,la pièce,prime bio
Jus d'orange avec pulpe CARREFOUR BIO,2,90cL,prime bio
Coriandre en pot Bio CARREFOUR BIO,1,la pièce,prime bio
Kiwi Hayward Bio CARREFOUR BIO,3,6 pièces,prime bio
Amandes bio en poudre CARREFOUR BIO,5,Quantité non disponible,prime bio
Noix de cajou grillées TRAMIER,2,160g,1 acheté = 25% de remise
Peche jaune Bio Jaune CARREFOUR BIO,3,Quantité non disponible,prime bio
Graines de tournesol CARREFOUR BIO,1,Quantité non disponible,prime bio
Jus D'Orange Sans Pulpe ANDROS,2,1L,prenez en 3 = payez en 2
Smoothie Super Bleu INNOCENT,3,750mL,le 2ème à -60%
Noix de Cajou grillées salées CARREFOUR CLASSIC',3,Quantité non disponible,le 2ème à -30%
Amandes décortiquées,8,Quantité non disponible,vu en catalogue
Tomates séchées Bio CARREFOUR BIO,3,100g,prime bio
Amandes Bio décortiquées sans sel ajouté CARREFOUR BIO,5,200g,prime bio
Figues moelleuses Bio CARREFOUR BIO,3,250g,prime bio
Noix de cajou non grillées sans sel ajouté CARREFOUR BIO,5,200g,prime bio
Abricots secs moelleux Bio CARREFOUR BIO,4,250g,prime bio
"Jus Multifruits Mangue, Fruit De La Passion, Pomme Et Twist De Vanille INNOCENT",2,750mL,1 acheté = 10% de remise
Smoothie Super Antioxydant INNOCENT,3,750mL,le 2ème à -60%
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Smoothie Super Energy INNOCENT,3,750mL,le 2ème à -60%
Champignons blancs Bio CARREFOUR BIO,2,200g,prime bio
Echalotes Bio 1/2 longues traditionnelles CARREFOUR BIO,1,250g,prime bio
Endives Bio CARREFOUR BIO,2,300g,prime bio
Patate douce Bio CARREFOUR BIO,2,Quantité non disponible,prime bio
Courge butternut CARREFOUR BIO,2,la pièce,-10% d'économies
Brocoli Bio CARREFOUR BIO,3,Quantité non disponible,prime bio
Kaki Bio CARREFOUR BIO,4,Quantité non disponible,prime bio
Poires CARREFOUR BIO,2,4 pièces,prime bio
Noix de cajou grillées à sec et salées grillées salées,7,Quantité non disponible,vu en catalogue
Pistaches coques grillées salées,12,Quantité non disponible,vu en catalogue
Jus D'Oranges 100% Pur Jus Sans Sucres Ajoutés ANDROS,2,1L,prenez en 3 = payez en 2
"Jus d'Ananas, Pomme et Citron Vert ANDROS",2,1L,1 acheté = 25% de remise
Salade Laitue Iceberg FLORETTE,2,450g,le 2ème à -68%
Graines de Chia JARDIN BIO,3,250g,1 acheté = 10% de remise
Graines de Courge JARDIN BIO,3,250g,promo : 20%
"Compote Pomme, Banane, Abricot et Poire ANDROS",3,12x100g,1 acheté = 15% de remise
Olives vertes dénoyautées Provençale TROPIC APERO,3,200g,le 2ème à -68%
Olive verte dénoyautées à la méditerranéenne TROPIC APERO,4,Quantité non disponible,le 2ème à -68%
Olives vertes dénoyautées à l'Italienne ail basilic TROPIC APERO,4,Quantité non disponible,le 2ème à -68%
Olives vertes dénoyautées à l'ail des ours TROPIC APERO,2,200g,le 2ème à -68%
Olives vertes dénoyautées Méditerranéenne TROPIC APERO,3,200g,le 2ème à -68%
Dattes dénoyautées CARREFOUR BIO,2,250g,prime bio
Pignons de pin CARREFOUR BIO,7,100g,prime bio
Olives vertes dénoyautées à l'orientale piment TROPIC APERO,4,Quantité non disponible,le 2ème à -68%
Olives vertes dénoyautées Espelette TROPIC APERO,3,200g,le 2ème à -68%
Olives vertes dénoyautées Sicilienne TROPIC APERO,4,220g,le 2ème à -68%
