nom,prix,unite,reduction
"COTE D'OR Tablette de chocolat au lait, à la pointe de sel et aux amandes caramélisées",3.66,180g,-50% sur le 2ème
COTE D'OR Tablette de chocolat au lait L'original,4.44,3x100g,-50% sur le 2ème
COTE D'OR Tablette de chocolat au lait raisins et noisettes entières,3.28,180g,-50% sur le 2ème
COTE D'OR Tablette de chocolat au lait et éclats de noisettes,4.35,200g,-50% sur le 2ème
COTE D'OR L'original tablette de chocolat au lait en barres,5.32,2x200g,-50% sur le 2ème
COTE D'OR Tablette de chocolat au lait noisettes entières en barres,3.38,4x45g,-50% sur le 2ème
COTE D'OR Tablette de chocolat noir et noisettes entières,3.07,180g,-50% sur le 2ème
COTE D'OR Tablette de chocolat noir extra dégustation 70%,1.96,100g,Aucune réduction
COTE D'OR L'Original tablette de chocolat noir,3.38,3x100g,-50% sur le 2ème
COTE D'OR Tablette de chocolat noir et amandes entières,3.54,180g,-50% sur le 2ème
COTE D'OR L'original tablette de chocolat noir en barres,2.73,200g,-50% sur le 2ème
ETHIQUABLE Tablette de chocolat noir bio sésame caramélisé cacao 65% Pérou Haïti,4.69,100g,Aucune réduction
MILKA Oréo chocolat blanc avec un fourrage goût vanille et morceaux de biscuits cacaotés,2.46,2x100g,Aucune réduction
RAFFAELLO Tablette de chocolat blanc 60% noix de coco et saveur ananas,2.15,90g,Aucune réduction
COTE D'OR Tablette de chocolat au lait fourré praliné et double lait,3.57,200g,-50% sur le 2ème
COTE D'OR Tablette de chocolat noir fourré praliné,3.47,200g,-50% sur le 2ème
COTE D'OR Tablette de chocolat noir fourré à la pâte d'amande,3.07,150g,-50% sur le 2ème
COTE D'OR Tablette de chocolat noir truffé,3.42,190g,-50% sur le 2ème
COTE D'OR Tablette de chocolat noir fourrée au nougat,3.00,130g,-50% sur le 2ème
SNICKERS Creamy Barres chocolatées au beurre de cacahuète caramel aux éclats de nougat et de cacahuète,2.89,182.5g,Aucune réduction
